Warning: Iteration pacing cannot be reached (pace time = 3.50, actual time = 4.70).	[MsgId: MWAR-15995]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_WOOptionalFields.c(9): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_WOOptionalFields.c(9): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_WOOptionalFields.c(9): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_WOOptionalFields.c(9): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_EmptyIssueSignature.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_InvalidParameters.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_MultipleRequest.c(10): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
BatchSearch_SingleRequest.c(11): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26612]
